I, [2017-11-16T11:55:43.039860 #4519]  INFO -- Kitchen: -----> Starting Kitchen (v1.17.0)
E, [2017-11-16T11:55:43.040078 #4519] ERROR -- Kitchen: ------Exception-------
E, [2017-11-16T11:55:43.040096 #4519] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2017-11-16T11:55:43.040107 #4519] ERROR -- Kitchen: Message: Kitchen YAML file /Users/chobern/Documents/fab_chef/.kitchen.yml does not exist.
E, [2017-11-16T11:55:43.040116 #4519] ERROR -- Kitchen: ----------------------
E, [2017-11-16T11:55:43.040123 #4519] ERROR -- Kitchen: ------Backtrace-------
E, [2017-11-16T11:55:43.040131 #4519] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/loader/yaml.rb:71:in `read'
E, [2017-11-16T11:55:43.040139 #4519] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/config.rb:147:in `data'
E, [2017-11-16T11:55:43.040146 #4519] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/config.rb:126:in `suites'
E, [2017-11-16T11:55:43.040154 #4519] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/config.rb:177:in `filter_instances'
E, [2017-11-16T11:55:43.040161 #4519] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/config.rb:136:in `build_instances'
E, [2017-11-16T11:55:43.040169 #4519] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/config.rb:112:in `instances'
E, [2017-11-16T11:55:43.040178 #4519] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2017-11-16T11:55:43.040203 #4519] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2017-11-16T11:55:43.040211 #4519] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2017-11-16T11:55:43.040219 #4519] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.4.0/benchmark.rb:293:in `measure'
E, [2017-11-16T11:55:43.040226 #4519] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/command/action.rb:34:in `call'
E, [2017-11-16T11:55:43.040234 #4519] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/cli.rb:53:in `perform'
E, [2017-11-16T11:55:43.040241 #4519] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/cli.rb:187:in `block (2 levels) in <class:CLI>'
E, [2017-11-16T11:55:43.040249 #4519] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2017-11-16T11:55:43.040256 #4519] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2017-11-16T11:55:43.040264 #4519] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2017-11-16T11:55:43.040273 #4519] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2017-11-16T11:55:43.040281 #4519] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2017-11-16T11:55:43.040289 #4519] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/bin/kitchen:13:in `block in <top (required)>'
E, [2017-11-16T11:55:43.040296 #4519] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2017-11-16T11:55:43.040304 #4519] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/bin/kitchen:13:in `<top (required)>'
E, [2017-11-16T11:55:43.040311 #4519] ERROR -- Kitchen: /usr/local/bin/kitchen:267:in `load'
E, [2017-11-16T11:55:43.040319 #4519] ERROR -- Kitchen: /usr/local/bin/kitchen:267:in `<main>'
E, [2017-11-16T11:55:43.040333 #4519] ERROR -- Kitchen: ----End Backtrace-----
